name,category,latitude,longitude,description,tags
School of Engineering and Engineering Technology,Department,5.3915,7.0025,SEET administrative building,SEET;engineering
School of Science and Technology,Department,5.3930,7.0010,SST main building,SST;science
School of Agriculture and Agricultural Technology,Department,5.3945,7.0035,SAAT building,SAAT;agriculture
School of Management Technology,Department,5.3905,7.0005,SMAT building,SMAT;management
School of Health Technology,Department,5.3920,7.0040,SHT building,SHT;health
School of Postgraduate Studies,Admin,5.3950,7.0020,SPGS building,SPGS;postgraduate
University Library,Library,5.3935,7.0015,Main library,library;books
Student Affairs Building,Admin,5.3910,7.0030,Dean of Students office,student;affairs
Senate Building,Admin,5.3925,7.0020,University Senate and VC office,school;administration
Medical Centre,Medical,5.3940,7.0045,Campus health services,hospital;clinic;health
